loss: -27.6910, minimizing loss: 547.2054, maximizing loss: 574.8964
loss: 11.2795, minimizing loss: 563.8047, maximizing loss: 552.5252
loss: 16.8797, minimizing loss: 565.4023, maximizing loss: 548.5226
loss: 31.9654, minimizing loss: 565.9581, maximizing loss: 533.9927
loss: -11.0024, minimizing loss: 534.3260, maximizing loss: 545.3284
loss: -13.5287, minimizing loss: 525.3891, maximizing loss: 538.9178
loss: -13.6774, minimizing loss: 518.3441, maximizing loss: 532.0214
loss: 41.9866, minimizing loss: 543.5275, maximizing loss: 501.5410
loss: -39.3589, minimizing loss: 496.4630, maximizing loss: 535.8219
loss: -44.1928, minimizing loss: 491.6231, maximizing loss: 535.8159
loss: -25.2807, minimizing loss: 507.1479, maximizing loss: 532.4285
loss: 33.7764, minimizing loss: 545.4102, maximizing loss: 511.6338
loss: 13.4893, minimizing loss: 540.6623, maximizing loss: 527.1730
loss: 14.2080, minimizing loss: 539.3582, maximizing loss: 525.1502
loss: 37.8817, minimizing loss: 547.4328, maximizing loss: 509.5511
loss: 61.1270, minimizing loss: 549.8746, maximizing loss: 488.7477
loss: -26.9805, minimizing loss: 488.2823, maximizing loss: 515.2629
loss: 13.4920, minimizing loss: 494.5360, maximizing loss: 481.0440
loss: 2.3739, minimizing loss: 474.9192, maximizing loss: 472.5452
loss: 27.2797, minimizing loss: 474.6086, maximizing loss: 447.3289
loss: -12.0072, minimizing loss: 442.0196, maximizing loss: 454.0268
loss: -39.6202, minimizing loss: 417.2384, maximizing loss: 456.8586
loss: -5.8552, minimizing loss: 429.8740, maximizing loss: 435.7291
loss: -1.0685, minimizing loss: 429.0659, maximizing loss: 430.1343
loss: -27.9672, minimizing loss: 413.5679, maximizing loss: 441.5351
loss: 14.8290, minimizing loss: 433.7809, maximizing loss: 418.9519
loss: -22.1888, minimizing loss: 415.9104, maximizing loss: 438.0992
loss: 6.8202, minimizing loss: 431.4686, maximizing loss: 424.6484
loss: -3.6154, minimizing loss: 428.3201, maximizing loss: 431.9355
loss: 39.3091, minimizing loss: 448.1185, maximizing loss: 408.8094
loss: 7.1289, minimizing loss: 428.9436, maximizing loss: 421.8147
loss: 7.8991, minimizing loss: 425.0760, maximizing loss: 417.1770
loss: -4.6374, minimizing loss: 412.1754, maximizing loss: 416.8127
loss: -15.4980, minimizing loss: 403.3592, maximizing loss: 418.8572
loss: -16.1628, minimizing loss: 400.2569, maximizing loss: 416.4197
loss: -33.9667, minimizing loss: 392.5492, maximizing loss: 426.5159
loss: 11.1318, minimizing loss: 418.4097, maximizing loss: 407.2779
loss: -3.3226, minimizing loss: 412.5592, maximizing loss: 415.8818
loss: -28.8365, minimizing loss: 403.1858, maximizing loss: 432.0223
loss: -11.5439, minimizing loss: 418.1556, maximizing loss: 429.6995
loss: 2.2813, minimizing loss: 430.1524, maximizing loss: 427.8711
loss: -15.1242, minimizing loss: 429.3160, maximizing loss: 444.4402
loss: 0.2514, minimizing loss: 444.2129, maximizing loss: 443.9615
loss: -17.3163, minimizing loss: 441.7106, maximizing loss: 459.0269
loss: -7.4560, minimizing loss: 456.1195, maximizing loss: 463.5756
loss: -11.4514, minimizing loss: 463.5872, maximizing loss: 475.0385
loss: -5.6669, minimizing loss: 477.8437, maximizing loss: 483.5106
loss: -13.3453, minimizing loss: 483.7190, maximizing loss: 497.0643
loss: -27.3550, minimizing loss: 489.3542, maximizing loss: 516.7092
loss: 14.0623, minimizing loss: 525.5927, maximizing loss: 511.5304
loss: -5.1586, minimizing loss: 527.6718, maximizing loss: 532.8303
loss: 15.3487, minimizing loss: 550.1015, maximizing loss: 534.7528
loss: -45.0173, minimizing loss: 528.6402, maximizing loss: 573.6575
loss: 26.3529, minimizing loss: 578.1621, maximizing loss: 551.8092
loss: 10.9742, minimizing loss: 580.0581, maximizing loss: 569.0839
loss: -64.2639, minimizing loss: 548.7210, maximizing loss: 612.9849
loss: 25.0031, minimizing loss: 609.5868, maximizing loss: 584.5837
loss: -11.0698, minimizing loss: 604.0154, maximizing loss: 615.0852
loss: -17.8405, minimizing loss: 614.5544, maximizing loss: 632.3950
loss: 0.8414, minimizing loss: 636.4651, maximizing loss: 635.6237
loss: -21.3847, minimizing loss: 639.7504, maximizing loss: 661.1351
loss: -13.2800, minimizing loss: 660.2244, maximizing loss: 673.5044
loss: 30.2631, minimizing loss: 698.2078, maximizing loss: 667.9448
loss: 3.9424, minimizing loss: 695.0087, maximizing loss: 691.0663
loss: 29.7965, minimizing loss: 716.0560, maximizing loss: 686.2595
loss: -22.3517, minimizing loss: 687.3077, maximizing loss: 709.6594
loss: 74.1897, minimizing loss: 739.3267, maximizing loss: 665.1370
loss: -6.1819, minimizing loss: 688.4100, maximizing loss: 694.5919
loss: 20.6763, minimizing loss: 689.8630, maximizing loss: 669.1867
loss: -90.8432, minimizing loss: 621.5828, maximizing loss: 712.4260
loss: 32.2845, minimizing loss: 686.0740, maximizing loss: 653.7895
loss: -26.9796, minimizing loss: 657.5427, maximizing loss: 684.5223
loss: -82.0128, minimizing loss: 635.5712, maximizing loss: 717.5840
loss: 13.8097, minimizing loss: 701.7490, maximizing loss: 687.9393
loss: 25.5582, minimizing loss: 724.0188, maximizing loss: 698.4606
loss: -29.9893, minimizing loss: 704.8111, maximizing loss: 734.8004
loss: -36.4624, minimizing loss: 718.0975, maximizing loss: 754.5599
loss: 6.0425, minimizing loss: 756.9103, maximizing loss: 750.8678
loss: -60.7958, minimizing loss: 744.9811, maximizing loss: 805.7769
loss: -3.2574, minimizing loss: 802.6502, maximizing loss: 805.9076
loss: -145.5466, minimizing loss: 762.5541, maximizing loss: 908.1008
loss: 5.7778, minimizing loss: 895.7969, maximizing loss: 890.0190
loss: 17.8943, minimizing loss: 955.8900, maximizing loss: 937.9957
loss: 10.4385, minimizing loss: 1002.3287, maximizing loss: 991.8903
loss: -95.3954, minimizing loss: 993.0861, maximizing loss: 1088.4814
loss: -19.6173, minimizing loss: 1092.8307, maximizing loss: 1112.4480
loss: -26.3607, minimizing loss: 1162.4376, maximizing loss: 1188.7983
loss: -34.8079, minimizing loss: 1226.8236, maximizing loss: 1261.6315
loss: -21.3976, minimizing loss: 1315.5604, maximizing loss: 1336.9580
loss: -159.8342, minimizing loss: 1331.9568, maximizing loss: 1491.7910
loss: 67.2469, minimizing loss: 1573.5652, maximizing loss: 1506.3182
loss: 88.5063, minimizing loss: 1687.0282, maximizing loss: 1598.5219
loss: 127.5837, minimizing loss: 1763.7006, maximizing loss: 1636.1168
loss: -64.7786, minimizing loss: 1675.8274, maximizing loss: 1740.6060
